Words,Similarity
birthstone,1.0
topaz,0.5696602
sapphire,0.5117656
pendant,0.4975661
jade,0.49478975
locket,0.48783815
earring,0.4825211
emerald,0.4586654
garnets,0.45442927
winterberry,0.44414946
silver,0.43326637
gold,0.42790973
highlighter,0.41750053
flower,0.41614586
petal,0.41139805
apricot,0.40853843
dahlia,0.4083998
daffodil,0.40667146
buttercup,0.40594316
beads,0.4036484
bride,0.40311563
glitter,0.39654115
anklet,0.39609388
sweetie,0.3857091
flowers,0.38278386
trinket,0.38112742
firstborn,0.37974197
ladybug,0.3797354
inlay,0.37484166
earlobe,0.3746396
satin,0.37351045
pinwheel,0.37315163
hairstyle,0.36916637
grandmother,0.36774635
amaretto,0.36746746
birthmark,0.36426732
quilter,0.36289686
constellation,0.36183986
grandmom,0.36150262
slipcover,0.35983425
fairy,0.35879216
scrapbook,0.35822925
bachelorette,0.35718253
ring,0.35591218
hickey,0.3514497
tupperware,0.35125512
binky,0.35060072
mother,0.34987983
tableware,0.34775683
bloomer,0.34739792
daughter,0.34700298
shawl,0.34576342
giver,0.34519488
cornhusk,0.3448839
urn,0.3445844
macbook,0.34430823
pottery,0.34424934
pageboy,0.34357926
whalebone,0.34250233
granddaughter,0.34245032
mermaid,0.341496
wineglass,0.34079832
grandma,0.33959097
date,0.3394121
cobalt,0.33812106
eyedropper,0.33747384
eyeliner,0.33712327
roses,0.33676714
aunt,0.3366884
houseplant,0.3347267
dating,0.33441424
pedicurist,0.33412874
handbag,0.33359754
gumdrop,0.33228672
pompom,0.3314446
cookie,0.331121
nebula,0.33074147
licorice,0.32987583
gingerroot,0.3292424
oilcloth,0.3281582
gimlet,0.32697812
chapstick,0.32592997
ballpoint,0.32566726
crayon,0.32405198
boysenberry,0.3230954
poetess,0.3229675
sweetheart,0.32265124
sandalwood,0.32262427
stylus,0.32146293
pleat,0.31967792
dishtowel,0.31940398
bassinet,0.31920698
doll,0.31783772
clasp,0.31722507
shrub,0.31694177
knitting,0.31601188
palette,0.31542322
neckerchief,0.31540447
wallpaper,0.31506968
swimsuit,0.31493592
daybook,0.3139878
calender,0.31355047
sherbet,0.31341204
antiques,0.31246534
perfume,0.312457
undergarment,0.31150863
thumbnail,0.31094766
pebble,0.3105422
chevron,0.310332
bra,0.3093242
lobe,0.30899528
thumbtack,0.3082499
flake,0.3068039
artwork,0.30674025
goddaughter,0.3066531
frankincense,0.30650404
mistletoe,0.305479
tortellini,0.30472255
gourd,0.3042457
microprobe,0.30364993
seamstress,0.30340114
buckskin,0.30286297
porkchops,0.30239066
dresser,0.3022432
pillow,0.3020354
quinoa,0.30172232
terracotta,0.3012897
cavewoman,0.30128625
flute,0.30126446
cedar,0.3007369
moon,0.30038112
skin,0.29997727
sleepwear,0.29943767
tapestry,0.29896814
vellum,0.29792476
housedress,0.29786026
girl,0.29757965
pencil,0.2974502
nutcrackers,0.29734433
copperhead,0.2973177
leopard,0.29710642
whittler,0.29705518
dishcloth,0.29646614
plumage,0.2964395
strawberry,0.29588094
margarita,0.29532304
child,0.29510254
wristband,0.2915656
nightstand,0.29094857
drapery,0.29040083
gram,0.28982234
