Words,Similarity
crane,1.0
excavator,0.6445527
pier,0.5305654
rig,0.52948505
tower,0.48719263
elevator,0.48345172
tractor,0.4799978
beams,0.4794827
chimney,0.45774955
propeller,0.45256808
guardrail,0.4483982
boat,0.44782346
locomotive,0.44609612
compacter,0.44184387
mast,0.43889618
boulder,0.43760237
turbine,0.43692282
roof,0.43412828
spire,0.430048
bungee,0.4269292
spreader,0.42339665
robot,0.41911826
joist,0.41622213
shipyard,0.41307595
chainsaw,0.41253412
kite,0.40488878
staircase,0.40297085
crawler,0.4013139
stepladder,0.39967743
canoe,0.39939767
wires,0.39891234
hose,0.39707673
pedestal,0.39499936
silo,0.3946836
handsaw,0.3942573
gust,0.39357617
excavation,0.39008114
welder,0.3888034
wrecker,0.38799044
gyroscope,0.38790601
arches,0.38381064
seagull,0.38372132
giraffe,0.38358912
icicle,0.3813761
lamppost,0.38037777
tarp,0.37960997
riverbank,0.37954783
ship,0.37635767
harpoon,0.37560233
fireman,0.3737222
turntable,0.3733448
wheelchair,0.37283617
arborist,0.36995488
monorail,0.3697063
beam,0.3692946
crew,0.36891228
gurney,0.36828673
firetrap,0.36781913
windsock,0.36709264
concrete,0.3659162
bird,0.36576203
doorframe,0.3648224
skydiver,0.3644741
lantern,0.36357522
walkway,0.36266991
helicoptor,0.36245728
submarine,0.36172703
warehouse,0.3617051
tipper,0.36079898
plane,0.36067122
barricade,0.360465
dolphin,0.36018544
fireproofing,0.36013138
turtle,0.36009663
anchorage,0.3588437
airplane,0.35848522
alligator,0.35838112
trees,0.3571531
skyline,0.35655022
lifeboat,0.35652053
plunger,0.35620695
bedspring,0.35593507
streetlamp,0.35564765
shark,0.35524237
causeway,0.3543173
clapper,0.35240746
dragonfly,0.35145885
boathouse,0.3506571
tow,0.35043576
hammock,0.34979132
steamer,0.34924304
crevasse,0.3475892
stair,0.34708527
vertebrae,0.34699437
flagman,0.34621117
prosthesis,0.3455221
stirrup,0.34456056
steamboat,0.34339935
hanger,0.34337333
orbiter,0.34299088
plywood,0.342974
tubing,0.34219828
embankment,0.34162092
suckerfish,0.34122273
heron,0.34040534
laborer,0.33994523
train,0.3393162
dam,0.33927307
quarry,0.33919564
tube,0.33782393
railroad,0.33770663
minibus,0.33745193
snake,0.33705097
scooter,0.3368729
dumpster,0.3365299
unicycle,0.33592084
snowmobile,0.3356159
icebreaker,0.33510542
container,0.33455452
twister,0.33233488
substation,0.33224225
spacecraft,0.33180594
sprayer,0.33154234
bassinet,0.3314821
dinghy,0.33067587
driller,0.33051795
sawmill,0.33028007
guillotine,0.3295392
treetop,0.32903647
stairs,0.328666
penguin,0.3281329
fishhook,0.32804972
rubble,0.3279823
roller,0.32791892
nest,0.32709023
firework,0.3265979
diaphragm,0.32603666
lanyard,0.32494235
tusk,0.3244252
bicycle,0.3243825
mousetrap,0.324103
nutcracker,0.32293373
bus,0.32149348
porch,0.32088247
playpen,0.32086027
gazebo,0.32073945
respirator,0.3200009
chariot,0.3188016
mermaid,0.3187039
cement,0.3186888
caterpillar,0.3184177
stockyard,0.31828597
machine,0.31777218
rail,0.31594172
crab,0.31566378
lifter,0.31554413
cones,0.31470522
plant,0.31438583
paddle,0.31382906
triceratops,0.31259477
harness,0.31251165
balloon,0.31197885
car,0.3116527
blowgun,0.31144685
donkey,0.311179
atrium,0.31086293
bones,0.31019896
cavern,0.31015489
drapery,0.30982053
granite,0.3095847
owl,0.30937496
trapdoor,0.30856863
bolt,0.30832514
antennae,0.3080267
ladle,0.30790046
gibbon,0.3075969
cone,0.3072466
workbench,0.30695793
pickax,0.30647734
dinosaur,0.30643764
brickwork,0.30630174
boardwalk,0.3059855
bellman,0.30578703
lobster,0.30497125
float,0.30464908
gorilla,0.3045876
apartment,0.3043363
boar,0.30397856
oxcart,0.3036907
spade,0.3032387
extinguisher,0.3030294
zookeeper,0.3030021
rhino,0.30297202
pinwheel,0.30267188
tub,0.30161065
condo,0.30134535
