Words,Similarity
papa,1.0
momma,0.6180258
uncle,0.5642178
son,0.5397968
mother,0.5217057
grandson,0.5061688
grandma,0.5035446
wife,0.4809708
tyke,0.47954744
firstborn,0.46996588
grandmom,0.46932346
aunt,0.46493652
daughter,0.46101236
grandmother,0.45476672
houseboy,0.44992158
mademoiselle,0.44755027
sweetie,0.44287005
freinds,0.4420158
nursemaid,0.4392187
binky,0.42933515
whore,0.42416272
granddaughter,0.42409512
babe,0.4166453
wienie,0.41320026
baldhead,0.4111732
twerp,0.40978634
waiter,0.40750962
pageboy,0.40605757
bride,0.40532666
elder,0.40451777
tomcat,0.40388232
bitch,0.40043682
goddaughter,0.39852193
neighbor,0.39290553
babysitter,0.3905526
cowpoke,0.39037964
king,0.38911092
gardner,0.38898027
geezer,0.38663968
dick,0.38439202
heartthrob,0.3811697
mutt,0.38006476
boy,0.37869018
chariot,0.37772074
barber,0.37553445
homebody,0.37552637
parents,0.37472767
laugh,0.37273267
hyena,0.37154618
me,0.3710193
gent,0.3695111
whittler,0.36879572
hello,0.36772382
brat,0.36732596
kinsman,0.36725345
joker,0.36657426
scumbag,0.36639214
clan,0.3657871
bellboy,0.3657527
kiss,0.36547413
sleazebag,0.36469692
laundrywoman,0.36434442
bellman,0.36350918
cavewoman,0.36237317
ragamuffin,0.3622236
milkmaid,0.3620754
friar,0.36122838
simpsons,0.3609534
actor,0.36064672
mongoose,0.36046952
harem,0.36016604
pee,0.36007947
sweetheart,0.35951307
lady,0.35897183
slobber,0.35685197
guardian,0.35662106
narrator,0.35654035
tow,0.35547373
toast,0.35540578
goat,0.35470915
pimp,0.3543911
avacado,0.35403395
bunkmate,0.35385668
reaper,0.35263112
imbecile,0.35239565
virgin,0.35078996
highchair,0.34928522
junkman,0.34927952
preacher,0.34784907
housetops,0.34765726
piglet,0.34704766
freemason,0.34701374
runt,0.34489772
kerchief,0.34443232
chef,0.3422821
jailbird,0.341065
villa,0.34086162
milkman,0.3406616
landlady,0.34017697
showman,0.33942297
turncoat,0.33940354
jailbait,0.33893797
stepsister,0.33754295
orphan,0.3375067
spareribs,0.33718064
dishtowel,0.33604765
bandleader,0.33564317
gimlet,0.33546618
batboy,0.335113
trident,0.33505598
buttercup,0.3344162
mummy,0.33411932
assassin,0.3329433
snowsuit,0.33293056
mate,0.33169356
fondness,0.33145806
toliet,0.33141628
joy,0.33119917
earwig,0.33094203
tupperware,0.3305554
gameboy,0.33003545
sportscaster,0.329515
mailman,0.32847086
flyboy,0.32837617
playpen,0.3281156
proprietor,0.32768193
kids,0.32757574
gumdrop,0.32755306
hunks,0.32729065
headsman,0.32718796
pedicurist,0.3270647
cameo,0.3261797
sultan,0.3261172
witch,0.32576454
cheapskate,0.3252782
bulldog,0.3251872
wingman,0.32516176
snatcher,0.32508665
packhorse,0.32506204
fleabag,0.32476643
crook,0.32461512
donkey,0.3245783
housekeeper,0.3243859
muskrat,0.3242511
porkpie,0.32382682
boar,0.32359946
baroness,0.32326764
taskmaster,0.32290027
fireman,0.32258224
bullfighter,0.3221375
lioness,0.32196605
doorkeeper,0.3219599
fairy,0.32118773
tortellini,0.32071072
vr,0.32059094
preschooler,0.32008767
whorehouse,0.3196589
neckerchief,0.31913203
gibbon,0.31888008
beard,0.31868473
