Words,Similarity
sax,1.0
percussionist,0.73039794
percussion,0.7123024
drummer,0.68753874
flute,0.67749304
bandleader,0.6571274
violin,0.6497526
clarinetist,0.6472414
vocalist,0.63367826
harpsichord,0.6277398
oboe,0.62475455
bass,0.6141204
synthesizer,0.59259313
horn,0.5827953
soloist,0.56272036
handclap,0.5326294
chanter,0.52538925
orchestra,0.5169607
band,0.5065457
bagpipes,0.50545114
quintet,0.5025419
soprano,0.50050014
turntable,0.48610908
kettledrum,0.4842082
hornpipe,0.45957825
kazoo,0.45911765
xylophonist,0.456366
folksong,0.43721834
dj,0.43568575
soundtrack,0.43523777
instrument,0.42956132
classical,0.41971067
hiphop,0.41550368
hymn,0.40888554
bugler,0.4065023
album,0.40242866
jellyroll,0.3982798
folk,0.39604926
showman,0.38514763
rock,0.381376
dancer,0.3742861
dick,0.37319413
narrator,0.3693774
gumbo,0.36884367
whittler,0.36637306
poet,0.36516115
stickman,0.3636499
bedspring,0.3611746
artist,0.3608704
whorehouse,0.35653675
choreographer,0.35318577
straightedge,0.3531059
welder,0.34636757
gourd,0.34486163
jackknife,0.34462833
eggbeater,0.34253764
speechmaker,0.34187102
boysenberry,0.34076256
whistle,0.34062836
sushi,0.339028
screamer,0.33892742
taffy,0.33381596
clapper,0.32991344
orator,0.32781008
swinger,0.32767585
ragamuffin,0.3272192
blower,0.32529038
gameboy,0.3251789
nursemaid,0.32391217
junkman,0.32354677
barber,0.32295537
diaphragm,0.3225093
brass,0.3200982
ear,0.3186101
bellman,0.31843382
tuxedo,0.3174667
sesame,0.31719965
ringmaster,0.3161289
preacher,0.31583664
amplifier,0.3152387
palette,0.3150349
sandpaper,0.31435663
entertainer,0.31272867
oilcloth,0.3113949
masher,0.31074774
thunder,0.30902797
satin,0.3078154
spareribs,0.30725384
laughter,0.3067106
papa,0.30669144
cowpoke,0.30665
chef,0.30647364
comedian,0.3058543
linoleum,0.30558437
pastrami,0.30508178
headphone,0.3038428
masterwork,0.30336183
unicycle,0.30274323
meatloaf,0.3013666
bellboy,0.30016297
clockmaker,0.30001074
chainsaw,0.2992953
electrochemist,0.29920262
paddle,0.299108
joker,0.29828575
gangster,0.29727036
gunsmith,0.296724
cigar,0.2961852
catcher,0.29575565
gingerroot,0.29536203
muffler,0.2953156
houseboy,0.29458943
uncle,0.2943766
origami,0.29434794
nutcracker,0.294262
nymphomaniac,0.29394025
porkpie,0.29236615
dishtowel,0.29165354
pastry,0.29160097
chowder,0.29089805
toke,0.29036924
eyeliner,0.29015046
tailcoat,0.28993002
homebody,0.2899086
housedress,0.2897776
camelback,0.28977212
gavel,0.28945324
jailbait,0.28822193
rook,0.28816727
tickles,0.28771707
snowboard,0.2877039
ganja,0.28758886
brazier,0.2868155
statesman,0.28657535
sportscaster,0.28615516
bonsai,0.28587428
racket,0.285577
confidant,0.28539595
grandmom,0.28495625
basketball,0.2847793
coleslaw,0.28439394
canoe,0.28423458
margarita,0.28421292
flatfoot,0.28415447
performer,0.28356877
quilter,0.28338575
blender,0.2833417
televangelism,0.28331596
sharkskin,0.2830523
blackfish,0.28296146
codpiece,0.2820329
amaretto,0.28197291
poodle,0.28150085
gent,0.28063282
griddle,0.28054848
waiter,0.27951193
steamboat,0.27945635
tomahawk,0.27943105
drapery,0.27931628
taskmaster,0.27907008
plunger,0.27821168
artichoke,0.2779259
baldhead,0.27789888
laugh,0.2776809
horseman,0.27716318
pimp,0.27714702
pipette,0.2767701
pageboy,0.27674583
wielder,0.27647465
nachos,0.2763288
filet,0.27629533
artwork,0.27623227
autobiographer,0.27603525
billfold,0.27601632
goddaughter,0.27592257
mojito,0.275648
showboat,0.2755839
transvestite,0.27454355
gust,0.27414343
neckerchief,0.273619
negro,0.27335218
crepe,0.2732472
thinker,0.2731408
skates,0.27272275
doorframe,0.2726477
truffle,0.27258745
rapper,0.2724241
wormwood,0.2723047
suspenders,0.27228367
wingman,0.27227548
frankincense,0.2722343
elder,0.272002
goatee,0.27196753
carpetbag,0.27175608
breadbox,0.27097097
dandelion,0.2709376
hotdog,0.2708479
gimlet,0.27058336
hairspray,0.2703521
tortellini,0.27009726
cameo,0.27003515
sauce,0.26997256
dominoes,0.26921377
stove,0.26888075
whiskey,0.26885605
avacado,0.26868966
stuff,0.26855996
handsaw,0.26853263
dresser,0.2682477
ballroom,0.26819128
chambermaid,0.268101
ringer,0.26809502
tapestry,0.2680927
lobe,0.26784977
roaster,0.26754943
wienie,0.26660886
mane,0.26626894
tofu,0.2658339
geezer,0.26557946
giblet,0.26551673
crotch,0.26551342
skillet,0.26518184
bunkmate,0.26513058
porch,0.26506686
megaphone,0.2650306
buffet,0.26502877
gazebo,0.26465383
backstreet,0.2646438
suitcase,0.26456213
kiss,0.26448885
melon,0.2644662
oceanographer,0.26435763
earring,0.2642499
tub,0.26420903
jeep,0.26321417
petal,0.26311767
neurobiologist,0.2630114
thyme,0.26300707
tutu,0.26257992
hammock,0.26245406
bouncer,0.26224595
spade,0.26211077
speedster,0.26206687
cheeseburger,0.26171398
balloonist,0.26169032
beads,0.261616
spaceman,0.2615745
showstopper,0.2613927
gravy,0.26113957
pompom,0.26094377
sandwich,0.2607779
