Words,Similarity
cement,1.0
concrete,0.59643596
steel,0.5666478
limestone,0.5380378
asphalt,0.52889884
rubber,0.4754247
granite,0.47531742
polyethylene,0.46065867
plywood,0.45725146
fertilizer,0.44317588
petroleum,0.43727267
mud,0.4305599
metal,0.4286136
plaster,0.4263418
wood,0.41501492
stone,0.41413873
drywall,0.41255638
methanol,0.39855045
build,0.39776003
tinplate,0.3941201
coal,0.39278784
polyester,0.39179173
brick,0.38984385
catapult,0.38664255
building,0.3819782
joist,0.38097888
clay,0.37788975
terracotta,0.37720987
brickyard,0.3714104
dirt,0.3703152
flour,0.36970392
bedrock,0.3673717
tin,0.36733457
sweepings,0.36722335
quarry,0.3667035
bricklayer,0.36379156
ceramics,0.36084318
bamboo,0.35914233
pvc,0.35499722
tannery,0.3544842
jackhammer,0.35382226
diesel,0.35204688
blacktop,0.35165477
bulldozer,0.35027608
honeycomb,0.34966603
thickener,0.3481569
excavator,0.34664768
iron,0.34587324
demolition,0.34572303
ammonium,0.34564224
cork,0.34252143
titanium,0.34224147
uranium,0.34216204
kerosene,0.34159103
linoleum,0.34079102
rice,0.33874792
latex,0.337541
laborer,0.3372833
nails,0.33646193
ore,0.3349626
railcar,0.3341231
cedar,0.33406243
counterweight,0.3339062
fuel,0.33226857
sifter,0.33115795
silk,0.33086032
plastic,0.33021298
sidewall,0.3294334
wax,0.32709488
crane,0.32592502
subsoil,0.3255184
welder,0.32509947
drainage,0.32110578
cocaine,0.32066494
bedspring,0.32004637
sweetener,0.32000187
trench,0.3193763
tapioca,0.31926072
planter,0.31912613
automobile,0.31885195
goods,0.31867468
roofer,0.31797183
grinder,0.3174049
pine,0.3170904
boiler,0.31620723
pillar,0.31554228
dividers,0.31463245
pottery,0.31438053
rainwater,0.31432903
roller,0.31383958
tobacco,0.31370556
cashew,0.31336492
compost,0.3128861
chlorine,0.31099388
railroad,0.30888647
cardboard,0.30882147
bleach,0.30830225
powder,0.30738905
heroin,0.3071982
subcontractor,0.3070353
stonemasonry,0.30624983
tipper,0.30548182
undercoating,0.3051864
tie,0.30411616
methamphetamine,0.303959
dike,0.30373016
casing,0.30318114
sandalwood,0.3021882
foundation,0.3016238
cheese,0.3008267
vacuum,0.30016917
rope,0.29890582
cola,0.29888582
grain,0.2975991
electroplate,0.2972777
sink,0.29700193
shoes,0.2969393
shakers,0.29653487
cotton,0.29642093
tarp,0.29618847
mango,0.29574007
horsehair,0.29557052
