Words,Similarity
computer,1.0
laptop,0.7014861
desktop,0.5616463
hacker,0.5527996
supercomputer,0.52467024
server,0.5058448
machine,0.4915357
programmer,0.4891343
copier,0.48668987
mainframe,0.48559216
notebook,0.4802143
typewriter,0.47744524
internet,0.47295883
electronic,0.46412918
keyboard,0.46365502
cellphone,0.46049023
projector,0.45732525
lab,0.44540295
database,0.4433817
technician,0.44310012
gameboy,0.44080192
browser,0.44001502
device,0.43848744
digital,0.43709046
phone,0.43085033
technology,0.42587042
geek,0.42434278
synthesizer,0.4229385
video,0.42012486
appliance,0.41608143
worm,0.41509137
coding,0.41351616
codebook,0.4133354
data,0.4083158
calculator,0.40820605
smartphone,0.40770897
scanner,0.40382403
usb,0.40299213
library,0.39897943
infector,0.3989278
cryptography,0.39756095
nerd,0.39687136
abacus,0.39376983
snooper,0.39169395
typist,0.38881072
notepad,0.3880745
science,0.38779676
doodad,0.3817894
cardiogram,0.3812423
homework,0.37957856
jukebox,0.37484458
multiprocessor,0.3744901
schoolwork,0.37210152
clipboard,0.3720885
folder,0.37197402
lawnmower,0.3706189
couch,0.3688207
pencil,0.36654913
photocopy,0.36596757
satellite,0.36540934
controller,0.36410218
stamper,0.3629204
stylus,0.36290947
zombie,0.36268276
chip,0.3607039
spammer,0.3586247
eavesdropper,0.35737076
ipad,0.35730264
kitchen,0.35614663
sniffer,0.35576227
thingamabob,0.35549062
log,0.35526654
photoshop,0.3540142
eraser,0.35359433
airplane,0.35181105
copy,0.3510615
typesetter,0.35050976
web,0.34995264
gamer,0.34984365
sketcher,0.34958655
toy,0.34948817
timecard,0.3492685
spy,0.34917504
refridgerator,0.3463467
engineer,0.34536102
treadmill,0.3452109
file,0.34448168
glucometer,0.34446734
refrigerator,0.3443317
piano,0.3440555
stopwatch,0.3430777
processor,0.3427472
toaster,0.34249568
preschooler,0.34211856
kiosk,0.34150076
auto,0.3412423
bookshelf,0.34060845
peer,0.34035003
planetarium,0.34034157
monitor,0.33990625
doorknob,0.33797723
tv,0.33775428
teacher,0.33666122
tools,0.33581534
tutor,0.33494735
mousepad,0.33242622
bookcase,0.33158752
sleuth,0.3309041
turntable,0.33029807
mapping,0.3299133
plasma,0.3298343
transmitter,0.32929152
maps,0.32916602
armoire,0.3291158
automobile,0.3290947
wheelchair,0.32894477
wizard,0.3269668
bike,0.326745
battery,0.32655844
sofa,0.32629177
latchkey,0.3260796
wallpaper,0.32582003
wires,0.32574716
theater,0.32538667
microwave,0.324631
administrator,0.32453108
telescope,0.32245043
student,0.3224274
manual,0.32235157
sewing,0.3221894
instrument,0.32208532
videotape,0.32190445
paintbrush,0.3208605
pegboard,0.3203952
stethoscope,0.32027695
room,0.31989917
partition,0.31908754
polygraph,0.31897768
algebra,0.31863093
bicycle,0.3185236
hydraulics,0.31842008
chat,0.31802288
stationery,0.31776583
boiler,0.31687936
pirate,0.31685755
recliner,0.31603992
wand,0.31549382
phonebook,0.31493384
racquetball,0.31492248
counterfeiter,0.31442317
diagram,0.3140778
dresser,0.3127704
screener,0.3122306
daycare,0.31175503
alarm,0.3116788
passport,0.31153315
elementary,0.31082356
mahjong,0.3107532
snowplow,0.31021094
lightswitch,0.3098083
blackjack,0.30951464
stapler,0.3088978
fridge,0.30887187
crayon,0.3085251
backpack,0.3083758
app,0.30817372
sterilizer,0.3080208
furnishings,0.30774775
ceramics,0.30719426
adult,0.3071086
cipher,0.30669016
headphone,0.30650935
pedophile,0.30623823
knitting,0.30571243
thumbnail,0.3056484
chainsaw,0.30563796
babysitter,0.30547443
edit,0.3051626
landline,0.3050245
bedroom,0.30483067
junk,0.3046737
research,0.30405986
dryer,0.3040309
spaceship,0.30371213
centrifuge,0.30330515
electrochemist,0.30164775
checkbook,0.30121207
child,0.3012079
keys,0.30050132
snack,0.3004957
cashbox,0.30038258
cartographer,0.30030063
faceplate,0.3002995
accountant,0.3001405
thumb,0.3000505
cafe,0.29972607
bookkeeper,0.29895815
socket,0.29827768
labeler,0.29768407
tray,0.2974727
learner,0.29666865
cockpit,0.2966581
ballpoint,0.29645815
node,0.29605135
alien,0.29503432
clock,0.29471183
gnome,0.29450485
excavator,0.29385734
cadaver,0.29330677
electrocardiogram,0.2931999
observatory,0.29313922
gyroscope,0.29309833
thumbtack,0.29288113
hobbies,0.2928577
quiz,0.29281676
bragger,0.2925155
artwork,0.29249
mousetrap,0.2922692
dragonfly,0.29134235
mapmaker,0.29130146
scoreboard,0.29107773
audiologist,0.291015
document,0.2909675
scooter,0.29064456
dishcloth,0.29044804
warehouse,0.28962684
criminal,0.28941417
cell,0.28906944
shoelace,0.28906903
hydroponics,0.28894293
sundial,0.28845158
inkpad,0.28809163
lunchbox,0.28807157
violin,0.28745347
inventor,0.28713536
dummy,0.2870088
peeper,0.28665534
propeller,0.28642073
diploma,0.2862655
paintball,0.28622198
duster,0.286089
doorframe,0.28574198
mechanic,0.2854769
tool,0.28541583
electrician,0.28521568
applications,0.2850998
mom,0.28468242
cube,0.28410208
burglar,0.28410092
checkers,0.2838267
antenna,0.28358892
hamster,0.2835068
respirator,0.28332636
breadbox,0.28306705
belongings,0.28294426
spacesuit,0.28287804
motorbike,0.28276113
buttons,0.2827372
wallet,0.2824027
home,0.28216287
person,0.28180882
psychotherapist,0.28172725
parts,0.28157112
mammogram,0.28131303
handbag,0.2810486
washcloth,0.28095517
luggage,0.28078574
linoleum,0.2804142
atm,0.28030348
contraption,0.27989364
cosmologist,0.27984422
plotter,0.27940497
doorbell,0.27917022
