Words,Similarity
polyethylene,1.0
polyester,0.6929571
plastic,0.6161581
pvc,0.5823216
latex,0.5712556
steel,0.53183264
tinplate,0.51352906
rubber,0.5081985
titanium,0.5058309
methanol,0.4786272
asphalt,0.47399402
filament,0.4703443
cement,0.46947786
thickener,0.46627435
plywood,0.45470834
cheesecloth,0.4425194
encasement,0.4410561
fertilizer,0.4406972
cotton,0.4398965
silk,0.43801802
bamboo,0.43228173
bubblewrap,0.42999232
hydroxide,0.42824328
metal,0.42562264
cardboard,0.4206795
joist,0.41817033
sidewall,0.41581428
cork,0.4085198
petroleum,0.40834305
honeycomb,0.40781617
webbing,0.40454808
ammonium,0.40351442
ejector,0.40021798
gripper,0.39960465
chlorine,0.3989429
condensates,0.3982762
superconductor,0.39768884
zipper,0.39601523
crystalloid,0.39497703
ceramics,0.39062217
limestone,0.38893604
compressor,0.38872215
gauze,0.3878412
sulfite,0.38693637
axle,0.38579407
wood,0.3844816
connector,0.384291
compost,0.38334796
wax,0.38009098
goatskin,0.37996715
gel,0.3797831
pegboard,0.37724316
casing,0.37699383
beeswax,0.37397632
electroplate,0.37312472
concrete,0.37214887
margarine,0.3711459
electrode,0.370812
cornhusk,0.37073264
capacitor,0.3704307
shingles,0.36767012
hemp,0.36674857
freon,0.36581427
sharkskin,0.36549932
gingerroot,0.36489022
valve,0.36475432
ethyl,0.3635691
cedar,0.36131874
hose,0.3609183
bulb,0.35970962
sunflower,0.3594889
antiseptics,0.3592202
drywall,0.35906604
sunscreen,0.3579356
sifter,0.35765517
licorice,0.3545003
ibuprofen,0.3543897
quartz,0.35398564
outer,0.35375953
muslin,0.35258284
pleat,0.3524955
labeler,0.35196343
corn,0.35092768
satin,0.34965044
linen,0.3473461
girdle,0.34508646
evaporator,0.34318796
sugarcane,0.34252343
ligament,0.34219018
rice,0.34187627
flour,0.34079754
teabag,0.33988544
paper,0.33965266
tapioca,0.33941916
bedspring,0.33939523
prosthesis,0.33931518
reactor,0.33862433
moleskin,0.33830464
railcar,0.33806878
wires,0.3375145
horsehair,0.33731887
pant,0.33690113
sling,0.33655515
hatband,0.33547735
particulate,0.3334814
nitroglycerine,0.33344766
denture,0.33265826
carbonation,0.3320581
diaphragm,0.33180198
oilcan,0.33152527
kitchenware,0.3312546
carotene,0.33107504
enamel,0.32923958
inlay,0.32888925
chiffon,0.32738066
jelly,0.32737422
whetstone,0.3259448
aspirin,0.32579014
shaver,0.3252368
vegetable,0.32479045
undercoating,0.32423085
enzyme,0.32402346
jellyroll,0.32375592
vacuum,0.32284826
tupperware,0.32237166
bleach,0.32216874
plants,0.32164553
roller,0.32087877
vellum,0.32072312
tesla,0.3206682
plunger,0.32044604
powder,0.31985942
shrub,0.31975123
toiletry,0.31963214
dividers,0.31962886
micrometer,0.31926838
tin,0.31795537
sweetener,0.31783763
sapphire,0.31738114
acetaminophen,0.31660095
duckweed,0.31635386
pouch,0.3162168
drainage,0.31583554
microprobe,0.3153384
pine,0.31484374
cornstalk,0.31409055
gum,0.3137268
grain,0.31314114
marigold,0.31211278
broccoli,0.311243
dishcloth,0.31090847
cashew,0.31079945
bra,0.31051823
algae,0.31012952
plutonium,0.31007892
yeast,0.30948883
ballpoint,0.30948547
vaseline,0.30907682
supplier,0.30901513
coal,0.3090005
braces,0.3089023
vaporizer,0.30888003
flaxseed,0.30887496
tibia,0.30876493
grape,0.30820113
pulley,0.30804056
heroin,0.30703893
sewer,0.30630437
sleepwear,0.30614045
brassiere,0.30596846
chicory,0.30596033
reed,0.30583918
