Words,Similarity
trees,1.0
vegetation,0.6654915
shrub,0.6282689
bushes,0.6114163
deadfall,0.5587683
arborist,0.54671985
poplar,0.5400099
poinsettia,0.5178155
prune,0.517274
cactus,0.5150427
winterberry,0.51248074
garden,0.5084151
cedar,0.49433804
plants,0.49018916
insects,0.49013427
wood,0.48919266
mistletoe,0.4874924
flower,0.48676255
honeysuckle,0.48670882
pine,0.48492447
ivy,0.48028257
wetland,0.47543997
decorations,0.47173014
thorns,0.47125244
houseplant,0.46760014
orchard,0.46684074
bulb,0.4659884
deer,0.4626733
rainforest,0.46045816
bush,0.4584875
pergola,0.45398256
acorn,0.45229423
bamboo,0.44928113
animals,0.448742
dune,0.4412106
bark,0.4403097
apples,0.43615198
pinecone,0.43537042
hyacinth,0.4326767
fauna,0.43074402
mayflower,0.43069512
planter,0.4304547
birdseed,0.42972234
cornstalk,0.42661732
habitat,0.42424175
chainsaw,0.42364886
gazebo,0.42350984
lamppost,0.42100343
dandelion,0.42024744
woodpecker,0.42001465
clover,0.41956025
greenhouse,0.4185149
chrysanthemum,0.41794816
apple,0.41652668
crabgrass,0.41644022
creek,0.41359362
farmland,0.40778425
compost,0.40526018
steeple,0.4043573
cones,0.4039975
snakes,0.4029017
squirrel,0.40096116
dahlia,0.40046373
gourd,0.3991786
landscaper,0.39818454
fence,0.395022
fungus,0.39490762
goats,0.39482328
rocks,0.39311513
beanstalk,0.39298737
photosynthesis,0.39282745
birdhouse,0.3917208
treetop,0.39070046
melon,0.38739377
asparagus,0.38653547
maypole,0.38549936
mushrooms,0.3849714
driveway,0.3845876
strawberry,0.38253495
nutcrackers,0.38207382
sparrow,0.37959814
pollen,0.37904525
apricot,0.37893406
walkway,0.37809548
hay,0.37702748
wires,0.37599188
greens,0.3744515
chickadee,0.37399998
lake,0.37359163
shingles,0.37303042
fishhooks,0.37151167
marigold,0.37118608
boulder,0.37095603
glasshouse,0.3707982
embankment,0.37034434
needles,0.3696851
sugarcane,0.36815277
roadside,0.36814258
duckweed,0.3680815
larvae,0.3679038
sandalwood,0.36612532
backyard,0.36472768
riverbed,0.36372605
monument,0.36271665
pond,0.36181858
mango,0.36178786
crossway,0.3613799
porch,0.3606797
bubblewrap,0.36009955
emerald,0.35975158
sunflower,0.3593148
blueberry,0.3586033
nest,0.3569062
papaya,0.35654038
archway,0.3557261
caterpillar,0.3549495
glowworm,0.35494706
gum,0.35442275
critter,0.3544157
