Words,Similarity
child,1.0
infant,0.7305133
toddler,0.70167094
baby,0.6901964
preschooler,0.67567074
mother,0.65435714
parents,0.6535697
babysitter,0.63700426
boy,0.6317679
girl,0.6285335
daughter,0.6148234
babies,0.6125775
kids,0.58238125
son,0.56588864
kindergartner,0.56431586
daycare,0.5553053
kindergartener,0.5497655
fetus,0.5478086
mom,0.54604965
tot,0.5398065
puppy,0.52954006
firstborn,0.5286287
kid,0.5256811
teenager,0.52349037
grandmother,0.5229665
kitten,0.51756734
person,0.51133215
granddaughter,0.496593
sextuplet,0.49444082
latchkey,0.48772404
aunt,0.48114884
crib,0.48004255
womb,0.47889397
birth,0.4729717
teacher,0.4724532
tyke,0.47124925
guardian,0.45914593
cub,0.4577589
highchair,0.45420003
stroller,0.45336604
dad,0.4505457
victim,0.44500825
family,0.44457927
sitter,0.44424966
mama,0.44346914
grandma,0.44178173
orphan,0.44174787
piglet,0.4411112
grandson,0.44005242
godchild,0.43993458
diaper,0.4366564
school,0.43547282
playmate,0.43417093
giver,0.43345606
soldier,0.43276668
binky,0.43145648
dog,0.43040037
housemaid,0.42759874
pet,0.42729864
sister,0.4237656
student,0.42204183
nurse,0.41895652
sex,0.41704425
wife,0.41682446
elementary,0.41495678
kidnapper,0.4149056
schoolgirl,0.40712318
chick,0.40619907
bride,0.4050747
elder,0.40438625
youth,0.4024084
animal,0.4022044
age,0.40070698
grandmom,0.3975256
stepsister,0.39715177
pooch,0.39447877
animals,0.3940543
widower,0.39340338
cat,0.39323065
prostitute,0.39265782
panda,0.39201516
doctor,0.39178488
therapist,0.3911766
lodger,0.39060467
doll,0.38776386
learner,0.3864276
brother,0.38586676
zookeeper,0.38579816
inmate,0.38338566
elderly,0.38282254
man,0.38178092
giraffe,0.38113123
uterus,0.380877
offender,0.3800078
granny,0.37977064
calves,0.37960884
washerwoman,0.37888804
fiancee,0.3787693
lunchbox,0.37854886
prisoner,0.37841576
corpse,0.37815163
toy,0.37795395
breadwinner,0.37770334
swaddling,0.37763497
uncle,0.37750176
neighbor,0.37680292
fawn,0.37546256
maid,0.3742624
maidservant,0.37425646
motorist,0.37417743
education,0.37366652
tummy,0.37244016
accuser,0.37216604
citizen,0.3717582
worker,0.3700118
snorer,0.36862728
teether,0.36839685
pillow,0.36779657
embryo,0.36767426
sleepwalker,0.3675435
psychiatrist,0.3674878
detainee,0.3667351
houseplant,0.36580274
playpen,0.36578435
pug,0.3655189
dishtowel,0.365406
sweetie,0.3650133
arrestee,0.36395702
immunization,0.36378068
housekeeper,0.3636671
laundrywoman,0.36299238
dachshund,0.3620962
crying,0.36071026
schoolwork,0.36061338
lioness,0.35755506
lady,0.35695073
counselor,0.35684675
placenta,0.35626036
bedroom,0.35615632
cats,0.35572046
penguin,0.35540104
schoolbag,0.3553699
dolphin,0.35480046
missionary,0.35459524
criminal,0.3542665
immigrant,0.35237354
backpack,0.3521807
chaperone,0.35058826
grandmamma,0.34980524
elephant,0.3497201
tutor,0.34970522
owl,0.34969527
turtle,0.3488953
manatee,0.3487987
church,0.3480777
washcloth,0.3474624
dogs,0.34723502
rhino,0.34716222
women,0.3459113
mutt,0.34555846
ladybug,0.34500033
orthodontist,0.34469438
munchkin,0.34467846
grandfather,0.3446703
peacekeeper,0.34435722
bicycle,0.3442576
gibbon,0.34407568
bird,0.34358385
reptile,0.34292257
bunny,0.34206194
driver,0.34193867
lad,0.34174076
priest,0.34101155
mammal,0.33933383
bathtub,0.3385646
nursemaid,0.33851996
mistress,0.33749032
cousin,0.33554193
nun,0.33534712
poverty,0.33482325
educator,0.3346121
psychologist,0.33424583
human,0.33374292
respondent,0.33370522
housewife,0.33360508
abortion,0.33322302
life,0.33307764
hospice,0.3329025
seahorse,0.33267295
nightgown,0.33195174
crayon,0.33163762
bed,0.33157176
sleeping,0.33085212
hospital,0.33069485
snowsuit,0.33045226
dowry,0.32992214
mattress,0.32942438
passerby,0.32911697
medication,0.3288901
foreigner,0.32846332
homework,0.32814586
body,0.3276532
brain,0.3267486
