Words,Similarity
computer,1.0
laptop,0.6897172331809998
keystroke,0.5330838561058044
photocopier,0.4799310266971588
machine,0.4714896082878113
notebook,0.4597218334674835
internet,0.4521803855895996
cellphone,0.4392201900482178
projector,0.435930460691452
mouse,0.433602899312973
fingerprint,0.4104067087173462
phone,0.40841174125671387
desk,0.39759811758995056
robot,0.3945443332195282
library,0.375284343957901
snooper,0.3677116334438324
notepad,0.3639494776725769
sequencer,0.36098992824554443
homework,0.3551185727119446
telemarketer,0.3470466434955597
lawnmower,0.34580570459365845
mathematician,0.34280961751937866
breadboard,0.33923691511154175
controller,0.3390320837497711
television,0.3380953371524811
toothbrush,0.3379463851451874
workbench,0.3371598422527313
chip,0.3354997932910919
kitchen,0.3307628631591797
dishwasher,0.32927605509757996
headset,0.32728874683380127
airplane,0.3262563645839691
copy,0.3254772424697876
typesetter,0.3249037563800812
timecard,0.32361355423927307
spy,0.3235164284706116
engineer,0.3195520341396332
treadmill,0.3193960189819336
preschooler,0.3161817491054535
bookshelf,0.31461209058761597
planetarium,0.3143346905708313
doorknob,0.31187716126441956
teacher,0.31050926446914673
tutor,0.30872783064842224
bookcase,0.30523553490638733
car,0.30372607707977295
armoire,0.3026663661003113
bike,0.30020207166671753
sofa,0.29973098635673523
student,0.29571422934532166
manual,0.2956354022026062
instrument,0.29535871744155884
dorm,0.2938757836818695
room,0.2930864095687866
bicycle,0.2916565239429474
scientist,0.2867186963558197
dresser,0.2856765389442444
transistor,0.28527510166168213
alarm,0.28454190492630005
mahjong,0.28357982635498047
neuroscientist,0.28234100341796875
stapler,0.28165125846862793
chainsaw,0.2782628834247589
babysitter,0.2780929207801819
bedroom,0.27742379903793335
dryer,0.276592493057251
child,0.27365821599960327
snack,0.27291789650917053
cashbox,0.27280035614967346
cartographer,0.27271515130996704
voyeur,0.2703894376754761
cockpit,0.26892900466918945
alien,0.2672411799430847
clock,0.2669060528278351
washer,0.2667056620121002
seashell,0.26649728417396545
movie,0.26582080125808716
cadaver,0.2654455900192261
electrocardiogram,0.26533448696136475
thumbtack,0.26500311493873596
artwork,0.2645965814590454
tractor,0.2633930444717407
psychologist,0.26258599758148193
toilet,0.2614186108112335
criminal,0.261399507522583
violin,0.25936150550842285
doorframe,0.25758254528045654
buttons,0.2544592618942261
wallet,0.2541115880012512
person,0.2534942924976349
psychotherapist,0.2534095346927643
parts,0.2532472312450409
plane,0.2527438998222351
luggage,0.25243085622787476
plotter,0.2509956955909729
boot,0.25064611434936523
human,0.2504693269729614
work,0.25026100873947144
tissue,0.24993988871574402
oilcan,0.24940022826194763
graphologist,0.24604029953479767
animated,0.24598774313926697
hangar,0.24359358847141266
fingertip,0.24342359602451324
window,0.24285757541656494
bifocals,0.24251173436641693
salespeople,0.24238699674606323
antiques,0.2420131415128708
kindergartener,0.2418733537197113
phantom,0.24158595502376556
firefly,0.24111056327819824
stripper,0.2410460114479065
harvester,0.2409813404083252
doorstop,0.24085944890975952
barista,0.2408059984445572
supervisor,0.23886679112911224
wheel,0.23661912977695465
store,0.23658350110054016
cat,0.23641182482242584
truck,0.23549972474575043
sunroom,0.23472997546195984
proctologist,0.23447757959365845
kitchenette,0.23331879079341888
highlighter,0.2332657128572464
anemometer,0.23273949325084686
charger,0.23203453421592712
painting,0.23166710138320923
drawer,0.23162983357906342
amplifier,0.23152320086956024
sound,0.23149773478507996
anklet,0.2314579039812088
apple,0.2313728630542755
comb,0.23064616322517395
tuba,0.230081707239151
photon,0.2297603189945221
pilot,0.22956983745098114
clothes,0.22929325699806213
cereal,0.22921255230903625
firearm,0.22829127311706543
flashlight,0.22819215059280396
handiwork,0.2275877296924591
