Words,Similarity
papa,1.0
mama,0.680452287197113
bro,0.520322322845459
grandfather,0.5090571045875549
cousin,0.4917612373828888
wife,0.4800643026828766
firstborn,0.4690401554107666
houseboy,0.4489608407020569
mademoiselle,0.44658538699150085
maidservant,0.4396613538265228
nursemaid,0.4382392466068268
baby,0.4217046797275543
sister,0.40464311838150024
widower,0.40362489223480225
elder,0.4034776985645294
goddaughter,0.3974713981151581
smile,0.3960522413253784
babysitter,0.38948819041252136
gardner,0.3879130482673645
crybaby,0.3814687132835388
mutt,0.3789820075035095
fisherwoman,0.37536588311195374
laugh,0.3716370761394501
gent,0.3684099018573761
kinsman,0.36614832282066345
sleazebag,0.36358729004859924
bellman,0.3623974919319153
narrator,0.35541650652885437
shepherdess,0.3541029095649719
pimp,0.3532634973526001
chick,0.3511263430118561
hero,0.3507542014122009
highchair,0.3481487035751343
tux,0.3473798930644989
famous,0.3451451361179352
kerchief,0.34328731894493103
gentleman,0.342768132686615
bunny,0.3394745886325836
undertaker,0.3376714587211609
bellhop,0.33741259574890137
gimlet,0.3343055248260498
hayseed,0.3342031240463257
trident,0.33389461040496826
clown,0.332349956035614
waitperson,0.3299177587032318
puppy,0.3295249342918396
tupperware,0.3293861746788025
angelfish,0.32621291279792786
headsman,0.32601284980773926
pedicurist,0.32588937878608704
fawn,0.3253982961177826
hairdresser,0.32379525899887085
puss,0.3229881227016449
boar,0.3224180340766907
baroness,0.3220856487751007
fairy,0.32000216841697693
preschooler,0.31890013813972473
bathrobe,0.31882601976394653
rat,0.3182455599308014
gibbon,0.3176904618740082
madman,0.31761154532432556
cock,0.31745508313179016
sparrow,0.3172571063041687
snorer,0.3153158724308014
toilette,0.315037339925766
sax,0.3147844672203064
fries,0.3127768933773041
vagrant,0.3116477131843567
poodle,0.3114023208618164
backstabber,0.31115418672561646
loincloth,0.31041043996810913
fruitcake,0.3103322684764862
craftsman,0.30891406536102295
child,0.30878952145576477
accomplice,0.3081783354282379
quiche,0.30791929364204407
countryman,0.3072959780693054
gunsmith,0.3072008192539215
kumquat,0.306749552488327
punisher,0.30615878105163574
governess,0.3059913218021393
guppy,0.3059292733669281
peacock,0.30488285422325134
snooper,0.301759272813797
kindergartener,0.30110621452331543
cabbie,0.30053117871284485
roughhouse,0.29989954829216003
percussionist,0.2998198866844177
cook,0.29979878664016724
proctologist,0.2996633052825928
exorcist,0.29917189478874207
oxcart,0.2987785041332245
clapper,0.29709967970848083
rosebush,0.2966628968715668
hayloft,0.29632169008255005
moviemaker,0.29629185795783997
cologne,0.2961703836917877
stirfry,0.29563838243484497
dachshund,0.2955212891101837
noggin,0.29508471488952637
showstopper,0.2948756814002991
tailcoat,0.2946905195713043
trombone,0.29419946670532227
seamstress,0.2928891181945801
meatloaf,0.2924889028072357
earring,0.29240360856056213
