Words,Similarity
polyethylene,1.0
tubing,0.5442469120025635
steel,0.5309665203094482
cement,0.4684964120388031
fertilizer,0.43966245651245117
metal,0.4245600402355194
matting,0.4177394509315491
honeycomb,0.4067206382751465
chlorine,0.39783093333244324
crystalloid,0.3938577473163605
denim,0.39192813634872437
tube,0.39098885655403137
sulfite,0.38580217957496643
connector,0.38315194845199585
inks,0.3721047043800354
concrete,0.3709873557090759
hemp,0.3655770719051361
valve,0.363579124212265
scrubber,0.3616041839122772
bulb,0.3585250973701477
silkworm,0.35743746161460876
bran,0.3573145866394043
oxidizer,0.3568706810474396
sunscreen,0.3567478060722351
kelp,0.35215678811073303
corn,0.34972691535949707
plant,0.3448755145072937
ligament,0.34097322821617126
rice,0.3406587243080139
tissue,0.33852648735046387
sling,0.33532777428627014
carbonation,0.3308224081993103
oilcan,0.3302885890007019
oat,0.32800230383872986
gasoline,0.32652026414871216
vegetable,0.3235413134098053
varnish,0.3231433033943176
transistor,0.32235288619995117
tupperware,0.321118026971817
leaf,0.3207709789276123
plants,0.32039058208465576
sprayer,0.3185547888278961
shrub,0.3184927701950073
toiletry,0.31837350130081177
tin,0.31669357419013977
suppository,0.3138431906700134
straw,0.3137505352497101
beads,0.31372955441474915
wheat,0.31313973665237427
esophagi,0.3113959729671478
marigold,0.3108401894569397
cashew,0.30952438712120056
bra,0.30924269556999207
canister,0.3088409900665283
conditioner,0.30848193168640137
tibia,0.3074861764907837
pulley,0.3067604601383209
marinade,0.30363208055496216
stoneware,0.3036320209503174
sheet,0.30354687571525574
cyanide,0.3031787574291229
soil,0.30278676748275757
seashell,0.3010194003582001
artery,0.29662102460861206
grass,0.29547780752182007
leakage,0.2935229539871216
sesame,0.2933642864227295
shampoo,0.2931997776031494
grapefruit,0.29272496700286865
fungi,0.2917725741863251
smelter,0.29123008251190186
arch,0.29017171263694763
water,0.28993549942970276
dryer,0.28936418890953064
cigarette,0.2892799377441406
tinsel,0.28887566924095154
drapery,0.2886016070842743
flytrap,0.28817451000213623
poncho,0.2873472273349762
cranberry,0.2872619926929474
cleanser,0.28660744428634644
soap,0.28574636578559875
condensation,0.28545883297920227
shoe,0.28492072224617004
washer,0.2832627296447754
antibiotic,0.283184677362442
gloves,0.28234192728996277
iodine,0.28209108114242554
projector,0.28160035610198975
pecan,0.2807997167110443
tofu,0.2804334759712219
skin,0.2801443636417389
poplar,0.280031681060791
snakeskin,0.27998945116996765
hay,0.2764170169830322
sunray,0.2756909132003784
nitrite,0.27564355731010437
pastry,0.2753375172615051
breadboard,0.2736285924911499
crane,0.2734967768192291
mouthwash,0.2732590138912201
cereal,0.2732103765010834
thumbtack,0.2728879451751709
wishbone,0.2707313597202301
liter,0.27049341797828674
horsehide,0.26955413818359375
anchorage,0.2683764100074768
raincoat,0.26796719431877136
dahlia,0.26678839325904846
topaz,0.26675739884376526
gland,0.26627764105796814
embroidery,0.2655095160007477
obsidian,0.2650720775127411
doorframe,0.26374101638793945
flower,0.2630903720855713
cinder,0.26299557089805603
orange,0.2609637677669525
nuclei,0.26001033186912537
bag,0.25943100452423096
lava,0.2592659890651703
oxygen,0.2587854862213135
barrel,0.2574671506881714
oxcart,0.2572639286518097
marshmallow,0.2569931447505951
fields,0.25652065873146057
fruit,0.2560998797416687
parts,0.25602269172668457
introducer,0.2558310925960541
calves,0.25576695799827576
canal,0.254834920167923
pollen,0.2537921965122223
sunroom,0.25355347990989685
antidepressant,0.253287136554718
iron,0.25295907258987427
bottle,0.25288671255111694
factory,0.25252923369407654
garbage,0.2525216341018677
clips,0.252248615026474
rum,0.2515830099582672
toilette,0.25087878108024597
melanin,0.2505921423435211
ice,0.2505567967891693
milk,0.2503897547721863
rail,0.25024208426475525
trunk,0.2502310872077942
spillage,0.2498229295015335
quinoa,0.24968060851097107
clog,0.24963033199310303
vegetation,0.24916788935661316
silverfish,0.24908316135406494
arches,0.24890725314617157
tacks,0.2484574317932129
coverall,0.24824409186840057
cup,0.24778929352760315
dislocation,0.24768590927124023
chicken,0.24680869281291962
pottery,0.24660059809684753
tie,0.24615368247032166
feathers,0.24546925723552704
wetland,0.2454417645931244
subsoil,0.24521426856517792
paprika,0.24517053365707397
stapler,0.24514606595039368
mushroom,0.24512602388858795
suckerfish,0.24438878893852234
neckline,0.24424275755882263
cologne,0.2435808926820755
watercress,0.24357250332832336
lagoon,0.24329723417758942
anemometer,0.2431243658065796
borough,0.24236024916172028
flannel,0.24225659668445587
carbohydrates,0.2417970448732376
broth,0.24167311191558838
tub,0.2408381998538971
amplifier,0.2399088591337204
trees,0.23990631103515625
kerchief,0.23959527909755707
dishwasher,0.23921281099319458
slate,0.23910975456237793
blanket,0.23883561789989471
wineglass,0.23861165344715118
beach,0.2381523698568344
watermelon,0.23665611445903778
ovary,0.23662298917770386
adjuster,0.23650506138801575
billiard,0.23590771853923798
placenta,0.23519527912139893
port,0.23439256846904755
vessel,0.23434953391551971
guardrail,0.2341136783361435
herring,0.23382116854190826
eggnog,0.23370665311813354
placebo,0.23344263434410095
shelf,0.23330503702163696
earplugs,0.23257361352443695
movie,0.23253248631954193
speedball,0.23227207362651825
sausage,0.23174095153808594
wine,0.23141121864318848
termite,0.23139701783657074
toothbrush,0.23134565353393555
bonsai,0.23125490546226501
puss,0.23071564733982086
substance,0.23070509731769562
cannabis,0.23070493340492249
cavern,0.23062743246555328
glitter,0.23021170496940613
frame,0.22987285256385803
chimney,0.22975701093673706
cadaver,0.2295089215040207
marmalade,0.22922150790691376
reel,0.22908736765384674
fumes,0.2288265824317932
griddle,0.22848892211914062
excavation,0.2275431901216507
feather,0.2272176444530487
ensemble,0.22708004713058472
beet,0.2265230417251587
ganja,0.2254934310913086
rosary,0.22540125250816345
sweepings,0.22535401582717896
litter,0.2252502739429474
seed,0.22492976486682892
toe,0.22472378611564636
sunglasses,0.22429420053958893
chronograph,0.22370848059654236
stirrup,0.22351308166980743
vitamins,0.22307677567005157
photon,0.22294768691062927
quarry,0.22241096198558807
fisherwoman,0.22239652276039124
sawmill,0.22231629490852356
cytoplasm,0.22225481271743774
clutch,0.22135187685489655
shawl,0.22088031470775604
bobtail,0.22055399417877197
bicycle,0.21993491053581238
geyser,0.21947605907917023
highlighter,0.21912388503551483
skunk,0.2188776433467865
bumper,0.2187860608100891
cider,0.21730606257915497
clapper,0.21655085682868958
trailer,0.2159520983695984
nerve,0.21593385934829712
balloon,0.2154090851545334
lizard,0.21523144841194153
windsock,0.21497267484664917
stirrer,0.2149500846862793
sycamore,0.21476341784000397
roach,0.21424922347068787
notebook,0.21373996138572693
thundercloud,0.21353217959403992
earring,0.21333527565002441
heat,0.2131965607404709
banister,0.2130526602268219
shield,0.21305152773857117
juicer,0.21285386383533478
artilleryman,0.21245019137859344
bakery,0.2123028039932251
calf,0.21222445368766785
precipitation,0.21178555488586426
stone,0.21166874468326569
cove,0.2116198092699051
ballet,0.21133871376514435
alcohol,0.2111637443304062
bifocals,0.2110079824924469
aerialist,0.2108883410692215
parsnip,0.21082231402397156
mist,0.21075557172298431
bathrobe,0.2106238156557083
tiara,0.2103654146194458
balm,0.21031437814235687
tailcoat,0.2102019041776657
eyelash,0.20996533334255219
doorknob,0.20944367349147797
pincers,0.20936252176761627
anchorman,0.20916295051574707
rigger,0.20888054370880127
harvester,0.20820695161819458
rockets,0.2080923169851303
magnetometer,0.20783641934394836
cattle,0.20754912495613098
road,0.2070503830909729
charger,0.20704758167266846
tractor,0.20700888335704803
duffel,0.2061658352613449
fish,0.2059214860200882
gymnasium,0.20579223334789276
plank,0.20576739311218262
sunburn,0.20576462149620056
truck,0.20555435121059418
nest,0.20485608279705048
football,0.20464134216308594
sundeck,0.20415934920310974
stirfry,0.20398706197738647
slop,0.20388081669807434
jig,0.20344620943069458
groin,0.20320136845111847
tenderloin,0.20281033217906952
chloroform,0.2025364190340042
dust,0.20229682326316833
women,0.20206357538700104
headmistress,0.20197397470474243
neighborhood,0.20173004269599915
mask,0.20150534808635712
apple,0.2014448344707489
snack,0.20128341019153595
