Words,Similarity
sax,1.0
trombone,0.7686605453491211
percussionist,0.7249501943588257
tuba,0.6813492178916931
violin,0.6426752805709839
bass,0.6063231229782104
chanter,0.5157989263534546
band,0.49657464027404785
ensemble,0.48809272050857544
instrument,0.4180346131324768
sound,0.388822078704834
dance,0.3736908435821533
sequencer,0.3718862235546112
rock,0.3688756227493286
concert,0.3622908592224121
dancer,0.361642450094223
narrator,0.35663458704948425
mallet,0.3548836410045624
poet,0.352333128452301
craftsman,0.33130401372909546
bellhop,0.3246494233608246
clapper,0.31637313961982727
switchblade,0.3114422857761383
nursemaid,0.3102506101131439
bellman,0.3046615719795227
aerialist,0.3040386438369751
sesame,0.30340248346328735
ringmaster,0.30231010913848877
amplifier,0.30140191316604614
tux,0.29965171217918396
fondue,0.297656774520874
thunder,0.295065701007843
snakeskin,0.2929712235927582
papa,0.29268190264701843
brisket,0.29071563482284546
bartender,0.28951841592788696
mathematician,0.28937652707099915
masterwork,0.2892850339412689
meatloaf,0.28724950551986694
mama,0.28594979643821716
ballet,0.2856287956237793
chainsaw,0.285136342048645
metal,0.28467458486557007
clown,0.2834782600402832
gunsmith,0.2825130820274353
bro,0.2821422517299652
stirfry,0.2817732095718384
tenderloin,0.28056785464286804
houseboy,0.280335396528244
pastry,0.2772865295410156
audiotape,0.276600182056427
chowder,0.2765694260597229
doorknob,0.27624139189720154
toke,0.27602994441986084
tailcoat,0.27558180689811707
noisemaker,0.274579793214798
grandfather,0.274015337228775
ganja,0.273193359375
paprika,0.27292361855506897
bonsai,0.2714441418647766
madman,0.27037420868873596
basketball,0.27032703161239624
banister,0.270063579082489
steak,0.2693645656108856
cook,0.26793235540390015
poodle,0.2669823169708252
gent,0.2660967707633972
griddle,0.26601070165634155
steamboat,0.2648965120315552
drapery,0.2647536098957062
vagrant,0.2646297514438629
lawnmower,0.2643997073173523
laugh,0.2630852162837982
seashell,0.26288658380508423
pimp,0.2625405192375183
whirlybird,0.26192206144332886
artwork,0.26160728931427
custard,0.2615375816822052
goddaughter,0.2612912952899933
armoire,0.26118773221969604
sunray,0.2608359456062317
cabbie,0.258565753698349
thinker,0.2584533393383026
doorframe,0.2579502761363983
elder,0.2572915256023407
goatee,0.2572563588619232
golfer,0.2567620873451233
quiche,0.2560948133468628
gimlet,0.25584420561790466
bayou,0.25543248653411865
sauce,0.25522109866142273
waterwheel,0.2541399300098419
snorer,0.25373053550720215
dresser,0.2534613609313965
lithograph,0.2533254623413086
gentleman,0.2531832456588745
throat,0.2531259059906006
hayloft,0.2518382668495178
cousin,0.25142696499824524
tofu,0.2509988248348236
crotch,0.2506718337535858
porch,0.2502162754535675
megaphone,0.2501792311668396
earring,0.24938279390335083
tub,0.24934110045433044
chest,0.24733291566371918
cheeseburger,0.2467956244945526
beads,0.24669566750526428
spaceman,0.24665333330631256
showstopper,0.24646787345409393
widower,0.24641160666942596
oilcan,0.24519041180610657
pottery,0.24496059119701385
workingman,0.24453814327716827
speedball,0.2436249554157257
dishwasher,0.24355481564998627
marinade,0.24332930147647858
accomplice,0.24226289987564087
typesetter,0.24181054532527924
stool,0.24157586693763733
workbench,0.2414066046476364
gridiron,0.24116863310337067
denim,0.24098500609397888
cologne,0.24071912467479706
jig,0.2403201162815094
mushroom,0.2402050644159317
machete,0.24013517796993256
kitchen,0.23944848775863647
angelfish,0.23937776684761047
ashtray,0.23901532590389252
painting,0.23884953558444977
dope,0.23883649706840515
burger,0.23879380524158478
dryer,0.23866236209869385
kumquat,0.2384367436170578
fries,0.2381390780210495
burrito,0.23790356516838074
squash,0.2377433478832245
flashlight,0.23754186928272247
seamstress,0.2374061793088913
baseball,0.23737239837646484
mademoiselle,0.2372852861881256
thumbtack,0.23723368346691132
loincloth,0.23618707060813904
oxcart,0.23594236373901367
artilleryman,0.23483096063137054
hitter,0.2345687448978424
sofa,0.23411300778388977
quinoa,0.23377083241939545
pedicurist,0.23349443078041077
scalpel,0.23328152298927307
bicycle,0.23283730447292328
stirrer,0.2326485961675644
bobtail,0.23210574686527252
tractor,0.2320956438779831
stuntman,0.23185649514198303
countryman,0.23145505785942078
watermelon,0.2313281148672104
hair,0.231028750538826
antiques,0.23092426359653473
highchair,0.23069356381893158
vegetarian,0.23068642616271973
barista,0.2304028868675232
wishbone,0.23030832409858704
tin,0.23015640676021576
spinner,0.23000285029411316
tupperware,0.2297249436378479
baton,0.22887122631072998
sleazebag,0.22873589396476746
billiard,0.22825191915035248
wineglass,0.22815945744514465
lava,0.227908656001091
jackrabbit,0.22755712270736694
voyeur,0.22747138142585754
football,0.22736188769340515
ribcage,0.2266979217529297
duelist,0.22651426494121552
photocopier,0.22567306458950043
rosary,0.22531774640083313
washer,0.22528904676437378
golfing,0.22506941854953766
sausage,0.22396571934223175
shepherdess,0.22377075254917145
putt,0.22362513840198517
marigold,0.2231711745262146
earplugs,0.2231377810239792
wallet,0.22309808433055878
drawer,0.2223694622516632
hayseed,0.22218407690525055
rigger,0.22193598747253418
bike,0.22189714014530182
yellows,0.22180236876010895
sundeck,0.22179856896400452
thundercloud,0.22176295518875122
dachshund,0.2216399610042572
dinner,0.22141355276107788
rattler,0.22133567929267883
undertaker,0.22126460075378418
roadrunner,0.22080475091934204
flytrap,0.2203543782234192
marmalade,0.21954062581062317
bedroom,0.21945559978485107
driveway,0.21932996809482574
obsidian,0.21916328370571136
proctologist,0.21908056735992432
clutch,0.2190689891576767
knife,0.21905618906021118
topaz,0.218943253159523
coverall,0.2188372164964676
trunk,0.21831557154655457
sprayer,0.21816644072532654
wad,0.21787957847118378
paratrooper,0.2176717221736908
chloroform,0.21696195006370544
watercress,0.21688143908977509
housefly,0.2165292650461197
bookshelf,0.21651066839694977
mahjong,0.21641448140144348
juicer,0.2160709947347641
clavicle,0.21586033701896667
lifer,0.2157531976699829
famous,0.21563942730426788
lifter,0.2154483199119568
hairdresser,0.21519558131694794
laptop,0.21482215821743011
flower,0.21467189490795135
kinsman,0.21442952752113342
flannel,0.21413013339042664
cellphone,0.21401768922805786
diver,0.21375727653503418
gibbon,0.21353617310523987
dahlia,0.213450625538826
ebola,0.21316547691822052
backstabber,0.21273864805698395
ladle,0.2124439775943756
firefly,0.21230725944042206
man,0.21207685768604279
smile,0.21188463270664215
harvester,0.21176831424236298
cavern,0.21172164380550385
moneybag,0.21150587499141693
pawnshop,0.21116849780082703
triceratops,0.2099851369857788
embroidery,0.2094612866640091
firewood,0.20940329134464264
chicken,0.20935092866420746
sleeping,0.2093140333890915
horsehide,0.20870429277420044
steel,0.2086816281080246
boarder,0.2085660696029663
bathrobe,0.20851314067840576
maidservant,0.2074717879295349
rum,0.20698894560337067
nightstand,0.20663534104824066
cat,0.20649176836013794
hubcap,0.20642831921577454
roughhouse,0.20627951622009277
fungi,0.20624983310699463
sadness,0.20623008906841278
psychotherapist,0.20619426667690277
poplar,0.206057608127594
foyer,0.20593319833278656
oxidizer,0.20561550557613373
streamliner,0.205610454082489
dispatcher,0.20525147020816803
trekker,0.20498248934745789
cider,0.2046496719121933
signature,0.20437663793563843
cadaver,0.20427009463310242
engineer,0.2038324475288391
kayaker,0.20366013050079346
cake,0.20325277745723724
planetarium,0.20310616493225098
biologist,0.20289868116378784
keystroke,0.20280060172080994
cart,0.20275138318538666
car,0.20252972841262817
parsnip,0.2024332880973816
arches,0.2024051994085312
mouthpiece,0.20220883190631866
neuroscientist,0.20166172087192535
pecan,0.201638326048851
cartographer,0.20147953927516937
notes,0.20127230882644653
duffel,0.20103652775287628
elevator,0.20081743597984314
warhorse,0.19997327029705048
hookers,0.19995751976966858
puss,0.19953732192516327
windsock,0.19940485060214996
slicer,0.19929109513759613
firefighter,0.1988682597875595
wife,0.19881895184516907
harpooner,0.19851179420948029
headset,0.19849197566509247
noggin,0.19819213449954987
nuclei,0.19814442098140717
pigeonhole,0.19806762039661407
pulley,0.19794116914272308
marksman,0.1978507936000824
ashcan,0.19741450250148773
truck,0.19714349508285522
mouse,0.19690437614917755
chronograph,0.1967843919992447
groomer,0.19637882709503174
treadmill,0.19617314636707306
breadboard,0.1961681842803955
trident,0.1960526406764984
scientist,0.1955895721912384
dart,0.19514191150665283
bookcase,0.19492214918136597
spoon,0.19486160576343536
grasshopper,0.1943834125995636
ligament,0.19421835243701935
cartoon,0.19399693608283997
lake,0.19395765662193298
parishioner,0.1937890499830246
magic,0.19354534149169922
tibia,0.19334940612316132
conditioner,0.19291989505290985
barnyard,0.19268099963665009
lust,0.1924823820590973
gardner,0.19234585762023926
tutor,0.1920868456363678
heart,0.19198501110076904
crayfish,0.19187134504318237
swordfish,0.19171127676963806
firewater,0.19157885015010834
stripper,0.19122378528118134
corn,0.191108837723732
policeman,0.19110307097434998
esophagi,0.19106189906597137
glitter,0.19052039086818695
wheel,0.1904657483100891
exorcist,0.1904447376728058
earth,0.19029568135738373
fingernail,0.19006119668483734
grapefruit,0.18963049352169037
sawmill,0.1895846724510193
foot,0.189536914229393
punter,0.18941141664981842
roach,0.1893690824508667
harpoon,0.18916082382202148
racer,0.18884702026844025
wine,0.18883934617042542
tonsillectomy,0.18849729001522064
highlighter,0.1881234496831894
rainstorm,0.18803365528583527
pincers,0.18794642388820648
feathers,0.18783243000507355
speech,0.18761567771434784
bluff,0.18759478628635406
rosebush,0.18757960200309753
eggnog,0.187369704246521
handiwork,0.18735256791114807
raincoat,0.18734097480773926
teacher,0.18725359439849854
bed,0.18719080090522766
weatherman,0.18700455129146576
ice,0.18657144904136658
fruitcake,0.186564102768898
urination,0.18649958074092865
carbonation,0.18644699454307556
crybaby,0.18603873252868652
cock,0.18602587282657623
dove,0.18599197268486023
flyswatter,0.18598702549934387
toothbrush,0.18582773208618164
kelp,0.18579024076461792
groin,0.18549863994121552
saddle,0.18545784056186676
animated,0.18518348038196564
herring,0.18515940010547638
artery,0.18445947766304016
shawl,0.1843547224998474
dagger,0.18413956463336945
grass,0.18408742547035217
beach,0.1840297430753708
cinder,0.18375563621520996
gland,0.18357692658901215
cherry,0.18310612440109253
tubing,0.18300147354602814
clothes,0.1826571375131607
sleep,0.18250466883182526
broth,0.18233056366443634
projector,0.18183520436286926
referee,0.18180111050605774
reel,0.1815338283777237
pistol,0.18126706779003143
life,0.18111471831798553
waitperson,0.18095742166042328
shirt,0.18082277476787567
belly,0.18065716326236725
fairy,0.18056394159793854
adviser,0.18056106567382812
sycamore,0.18049857020378113
transistor,0.1801757514476776
canine,0.17931251227855682
gallery,0.17929095029830933
residency,0.1791304647922516
door,0.1790577471256256
manor,0.1788652092218399
pawnbroker,0.17874902486801147
oilman,0.1785898357629776
hand,0.1785069704055786
canyon,0.17847158014774323
pollen,0.17846515774726868
gymnasium,0.178264781832695
restaurant,0.1782609075307846
bakery,0.17798231542110443
tube,0.177728071808815
apple,0.17770908772945404
bushman,0.17769505083560944
marcher,0.17762726545333862
bar,0.17754076421260834
sunglasses,0.1774967610836029
blinker,0.17711804807186127
suppository,0.1769893765449524
chop,0.1768702268600464
charger,0.17669647932052612
toxicologist,0.1766098588705063
rifleman,0.17653456330299377
colonist,0.1758960634469986
tradesman,0.17545944452285767
alligator,0.17524848878383636
sunroom,0.17500846087932587
bag,0.17500385642051697
anchorman,0.1743205189704895
robot,0.17423033714294434
breakfast,0.17421117424964905
lagoon,0.1741780787706375
tusk,0.1738942563533783
cigarette,0.17380669713020325
chick,0.17379337549209595
notepad,0.17375779151916504
stoneware,0.17370150983333588
horseshit,0.1736779659986496
phantom,0.17357656359672546
slaveholder,0.17353063821792603
supernova,0.1734493374824524
sweater,0.17343108355998993
snack,0.17343023419380188
caterer,0.17331349849700928
raccoon,0.17328549921512604
haircut,0.1731935739517212
slouch,0.17264032363891602
fingertip,0.1724855750799179
barracuda,0.1723811775445938
ovary,0.17235364019870758
stirrup,0.17226065695285797
kerchief,0.1721353679895401
crustacean,0.17210160195827484
crawlers,0.17178259789943695
clips,0.17163971066474915
writer,0.1716151237487793
looser,0.17151425778865814
movie,0.17142194509506226
orange,0.17139947414398193
buttons,0.17138880491256714
alarm,0.1713256984949112
fisherwoman,0.1710120290517807
nuke,0.17094789445400238
chimney,0.17092981934547424
